z_1_1,z_2_1,z_3_1,z_4_1,z_5_1,z_6_1,z_7_1,z_8_1,z_9_1
1.46759248,-2.90717742,1.69620487,5.22619113,3.58015888,-0.29307682,3.58015888,-3.16781925,-3.22038429
1.46759248,3.58015888,4.28833721,-1.61751154,3.58015888,4.12992057,-1.62971297,-1.62971297,1.46759248
3.58015888,-3.16781925,-0.29307682,3.10220842,1.69620487,-0.29307682,-3.16781925,-3.16781925,-1.89149482
2.73546468,3.43142459,1.89588867,-0.29307682,-1.61751154,1.69620487,-2.90717742,-3.50072748,1.89588867
-0.29307682,-1.62971297,3.11220363,-0.29307682,-0.29307682,4.18134538,1.69620487,-1.61751154,-2.90717742
4.18134538,-1.62971297,2.73546468,1.69620487,4.18134538,4.18134538,3.10220842,-3.22038429,-1.61751154
3.58015888,4.28833721,-1.61751154,-3.22038429,4.18134538,3.58015888,4.18134538,-3.16781925,-2.90717742
-1.61751154,2.73546468,5.22619113,3.10220842,5.22619113,-1.61751154,-2.90717742,-1.62971297,1.69620487
-1.62971297,1.69620487,-0.29307682,1.69620487,3.43142459,2.73546468,1.69620487,-1.89149482,-3.22038429
-2.90717742,4.12992057,1.46759248,4.12992057,1.69620487,1.89588867,3.11220363,-1.62971297,-3.22038429
4.12992057,1.46759248,4.12992057,1.69620487,1.89588867,3.11220363,-1.62971297,-3.22038429,1.46759248
4.18134538,-3.22038429,-0.29307682,-1.89149482,-3.22038429,3.43142459,4.28833721,-3.22038429,4.18134538
3.43142459,-3.16781925,4.12992057,3.58015888,1.69620487,4.28833721,4.18134538,-1.61751154,1.46759248
4.12992057,3.58015888,1.69620487,4.28833721,4.18134538,-1.61751154,1.46759248,-3.22038429,1.69620487
1.69620487,4.28833721,4.18134538,-1.61751154,1.46759248,-3.22038429,1.69620487,-1.89149482,3.10220842
3.10220842,4.18134538,-3.22038429,-3.22038429,3.10220842,-3.22038429,-3.22038429,3.43142459,-3.22038429
4.18134538,-3.22038429,-3.22038429,3.10220842,-3.22038429,-3.22038429,3.43142459,-3.22038429,-3.22038429
-3.22038429,-3.22038429,3.10220842,-3.22038429,-3.22038429,3.43142459,-3.22038429,-3.22038429,-2.90717742
-3.16781925,-3.22038429,4.28833721,1.89588867,1.46759248,-3.16781925,1.69620487,-3.16781925,3.10220842
-3.16781925,1.69620487,-3.16781925,3.10220842,-1.62971297,-1.89149482,1.69620487,-3.16781925,-1.61751154
3.43142459,-3.16781925,2.73546468,3.58015888,1.69620487,4.28833721,3.11220363,-1.61751154,1.46759248
2.73546468,3.58015888,1.69620487,4.28833721,3.11220363,-1.61751154,1.46759248,-3.22038429,1.69620487
1.69620487,4.28833721,3.11220363,-1.61751154,1.46759248,-3.22038429,1.69620487,-1.89149482,3.10220842
1.69620487,-1.89149482,3.10220842,1.46759248,-1.61751154,-1.61751154,1.46759248,-3.22038429,-3.22038429
3.10220842,1.46759248,-1.61751154,-1.61751154,1.46759248,-3.22038429,-3.22038429,-3.50072748,3.10220842
3.11220363,4.28833721,-0.29307682,4.12992057,3.11220363,-0.29307682,3.43142459,-3.16781925,-0.29307682
-0.29307682,4.12992057,3.11220363,-0.29307682,3.43142459,-3.16781925,-0.29307682,-3.22038429,1.46759248
4.12992057,5.22619113,5.22619113,-1.61751154,4.18134538,3.43142459,3.43142459,-3.16781925,1.69620487
3.11220363,4.28833721,-0.29307682,3.10220842,3.11220363,-0.29307682,3.43142459,-3.16781925,-0.29307682
-0.29307682,3.10220842,3.11220363,-0.29307682,3.43142459,-3.16781925,-0.29307682,-3.22038429,1.46759248
4.12992057,5.22619113,5.22619113,-1.61751154,4.18134538,3.43142459,-0.29307682,-3.16781925,1.69620487
